"sales";"receives";"date"
676.0;561.0;1/1/17 12:00 AM
415.0;298.0;1/2/17 12:00 AM
304.0;308.0;1/3/17 12:00 AM
342.0;328.0;1/4/17 12:00 AM
304.0;377.0;1/5/17 12:00 AM
344.0;406.0;1/6/17 12:00 AM
330.0;383.0;1/7/17 12:00 AM
370.0;321.0;1/8/17 12:00 AM
293.0;274.0;1/9/17 12:00 AM
346.0;333.0;1/10/17 12:00 AM
298.0;339.0;1/11/17 12:00 AM
294.0;360.0;1/12/17 12:00 AM
328.0;363.0;1/13/17 12:00 AM
317.0;307.0;1/14/17 12:00 AM
275.0;212.0;1/15/17 12:00 AM
376.0;365.0;1/16/17 12:00 AM
291.0;321.0;1/17/17 12:00 AM
331.0;335.0;1/18/17 12:00 AM
427.0;370.0;1/19/17 12:00 AM
275.0;389.0;1/20/17 12:00 AM
351.0;283.0;1/21/17 12:00 AM
289.0;314.0;1/22/17 12:00 AM
276.0;284.0;1/23/17 12:00 AM
307.0;279.0;1/24/17 12:00 AM
280.0;264.0;1/25/17 12:00 AM
277.0;353.0;1/26/17 12:00 AM
268.0;332.0;1/27/17 12:00 AM
356.0;284.0;1/28/17 12:00 AM
370.0;312.0;1/29/17 12:00 AM
472.0;514.0;1/30/17 12:00 AM
409.0;418.0;1/31/17 12:00 AM
310.0;337.0;2/1/17 12:00 AM
335.0;332.0;2/2/17 12:00 AM
306.0;341.0;2/3/17 12:00 AM
260.0;268.0;2/4/17 12:00 AM
358.0;333.0;2/5/17 12:00 AM
326.0;358.0;2/6/17 12:00 AM
254.0;278.0;2/7/17 12:00 AM
288.0;263.0;2/8/17 12:00 AM
256.0;229.0;2/9/17 12:00 AM
266.0;310.0;2/10/17 12:00 AM
359.0;386.0;2/11/17 12:00 AM
378.0;293.0;2/12/17 12:00 AM
371.0;310.0;2/13/17 12:00 AM
302.0;381.0;2/14/17 12:00 AM
283.0;291.0;2/15/17 12:00 AM
283.0;363.0;2/16/17 12:00 AM
283.0;294.0;2/17/17 12:00 AM
336.0;278.0;2/18/17 12:00 AM
347.0;322.0;2/19/17 12:00 AM
303.0;315.0;2/20/17 12:00 AM
238.0;302.0;2/21/17 12:00 AM
292.0;254.0;2/22/17 12:00 AM
286.0;318.0;2/23/17 12:00 AM
250.0;318.0;2/24/17 12:00 AM
326.0;277.0;2/25/17 12:00 AM
301.0;233.0;2/26/17 12:00 AM
276.0;323.0;2/27/17 12:00 AM
313.0;263.0;2/28/17 12:00 AM
